start_date,end_date,total_days,profit_days,loss_days,capital,end_balance,max_drawdown,max_ddpercent,max_drawdown_duration,total_net_pnl,daily_net_pnl,total_commission,daily_commission,total_slippage,daily_slippage,total_turnover,daily_turnover,total_trade_count,daily_trade_count,total_return,annual_return,daily_return,return_std,sharpe_ratio,ewm_sharpe,return_drawdown_ratio,rgr_ratio,ts_code
2021-10-08,2025-12-31,1030,174,201,69444.44444444444,156780.57132462904,-47133.18174360921,-28.79293466438222,524,87336.12688018454,84.79235619435393,2052.326132027137,1.9925496427447933,1654.0,1.6058252427184465,2565407.665033921,2490.6870534309915,78,0.07572815533980583,125.76402270746586,29.304238300768745,0.07906020587092583,1.843232747031234,0.6644822498493446,0.6345920679630634,4.367877889954718,0.8113689226253584,000021.SZ
2021-10-08,2025-12-31,1030,143,159,69444.44444444444,57897.01656070695,-61536.93349042181,-51.52382003950997,441,-11547.427883737491,-11.211095032754846,2269.41510629222,2.203315637176913,2082.0,2.021359223300971,2836768.8828652753,2754.144546471141,87,0.08446601941747572,-16.628296152581978,-3.8745544433200725,-0.017656428795897863,1.8282460484640524,-0.14961455486248043,-0.25448275075214216,-0.32273026611440914,-0.08262554260407974,000062.SZ
2021-10-08,2025-12-31,1030,135,176,69444.44444444444,24673.029057071042,-49462.22604588474,-66.71889909489592,1142,-44771.41538737335,-43.46739357997413,2661.6515391065495,2.5841277078704366,2219.0,2.154368932038835,3327064.4238831867,3230.1596348380453,88,0.0854368932038835,-64.4708381578177,-15.022331221239074,-0.1004676083861598,2.4241650441837095,-0.6420509610869511,-0.636606193939403,-0.9663054851387648,-0.19766811333574394,000636.SZ
2021-10-08,2025-12-31,1030,115,133,69444.44444444444,56316.95391199912,-30991.121600000006,-35.67243085664884,266,-13127.490532445325,-12.745136439267306,1407.4534249286394,1.3664596358530479,616.0,0.5980582524271845,1759316.7811607993,1708.07454481631,66,0.06407766990291262,-18.90358636672126,-4.404719153410779,-0.020342858969164643,1.589241263053149,-0.19830231150796884,-0.3666619688004999,-0.5299214523026512,-0.09524614607186067,000818.SZ
2021-10-08,2025-12-31,1030,203,210,69444.44444444444,61628.25137875347,-45990.461392120225,-57.87254374598992,820,-7816.193065690974,-7.588536956981528,2710.426453472721,2.631481993662836,3480.0,3.378640776699029,3388033.0668409015,3289.3524920785453,89,0.08640776699029126,-11.255318014594994,-2.6225983723328143,-0.011592881623216526,2.583565712394414,-0.06951483718160943,0.32000430156474086,-0.19448459124236944,-0.04831923755860736,000823.SZ
2021-10-08,2025-12-31,1030,167,182,69444.44444444444,106794.55290939208,-34477.72618496057,-24.772365609597987,276,37350.108464947654,36.26224122810452,1973.3237259793555,1.9158482776498598,1052.0,1.021359223300971,2466654.6574741947,2394.810347062325,76,0.07378640776699029,53.78415618952461,12.532230568432919,0.04178445146642548,1.6204476511991948,0.3994710586056071,0.04280967152251239,2.171135249541371,0.5538399750655848,000938.SZ
2021-10-08,2025-12-31,1030,192,183,69444.44444444444,248480.6897399063,-67932.08171326187,-30.31371310894627,542,179036.24529546185,173.8215973742348,1654.201906770451,1.6060212687091757,646.0,0.6271844660194175,2067752.3834630635,2007.5265858864693,66,0.06407766990291262,257.8121932254651,60.07274405253555,0.123770685711947,1.6303191256041818,1.1761177231688202,1.3466933065884437,8.504804155759421,1.617452995405294,000988.SZ
2021-11-17,2025-12-31,998,145,179,69444.44444444444,127908.58562649028,-68536.37082612218,-43.742542150451214,466,58464.14118204583,58.58130378962508,1690.2231022924293,1.693610322938306,3204.0,3.2104208416833666,2112778.8778655366,2117.012903672882,75,0.07515030060120241,84.18836330214603,20.245698589694438,0.06120127871564008,1.9761844640419275,0.4797761292940587,0.6072833426178873,1.924633529815953,0.3847566789746651,001267.SZ
2022-07-01,2025-12-31,852,185,198,69444.44444444444,132509.66458469123,-27803.267199999944,-23.74222738077616,8,63065.220140246776,74.02021143221452,1283.1613215680152,1.506057889164337,340.0,0.39906103286384975,1603951.6519600188,1882.572361455421,81,0.09507042253521127,90.81391700195537,25.581385070973344,0.07583667965116256,1.7511487467649405,0.670906335885458,1.248110236317526,3.824995673130756,1.1694282027588234,001309.SZ
2024-04-02,2025-12-31,426,83,81,69444.44444444444,69362.43844527162,-18163.336110369266,-22.955300390919433,148,-82.0059991728167,-0.19250234547609554,629.7862059675037,1.478371375510572,142.0,0.3333333333333333,787232.7574593796,1847.964219388215,37,0.08685446009389672,-0.11808863880885534,-0.06652881059653822,-0.00027736717930029037,1.7935784063391529,-0.0023957435312954374,0.15831124253872883,-0.005144286365146778,-0.0029774602720115916,001389.SZ
